Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2012-BLG-0572,BLG500.18,154966,17:53:51.08,-28:32:46.6,2456076.326,2012-05-28.83,33.883,0.278,3.7,1.42,0.496,18.821,19.583,268.46283333333326,-28.546277777777778
2012-BLG-0573,BLG500.26,7121,17:54:17.86,-28:13:52.0,2456049.789,2012-05-02.29,1.916,0.158,6.383,2.013,1.0,19.721,19.721,268.5744166666666,-28.231111111111108
2012-BLG-0574,BLG500.26,53945,17:54:10.29,-28:01:29.1,2456120.295,2012-07-11.79,80.319,2.054,1.056,0.059,1.0,16.103,16.103,268.5428749999999,-28.024749999999997
2012-BLG-0575,BLG505.24,81041,17:55:30.19,-29:02:15.9,2456053.26,2012-05-05.76,25.947,0.008,118.9,5.188,0.05,18.679,21.922,268.87579166666666,-29.037750000000003
2012-BLG-0576,BLG505.28,70616,17:58:22.49,-28:48:29.0,2456082.609,2012-06-04.11,28.781,0.579,1.938,0.718,0.693,18.265,18.663,269.59370833333327,-28.808055555555555
2012-BLG-0577,BLG506.06,141418,17:55:56.17,-30:49:11.5,2456324.302,2013-01-31.80,261.2,0.0,78907.0,12.243,0.183,14.758,16.599,268.98404166666666,-30.81986111111111
2012-BLG-0578,BLG510.16,37613,17:54:28.80,-35:37:10.2,2456058.18,2012-05-10.68,9.363,0.043,23.543,3.43,0.959,15.948,15.994,268.61999999999995,-35.6195
2012-BLG-0579,BLG512.09,147176,18:05:06.90,-28:38:51.6,2456068.73,2012-05-21.23,14.833,0.185,5.461,1.843,0.686,18.218,18.627,271.27874999999995,-28.647666666666666
2012-BLG-0580,BLG534.03,15629,17:52:45.85,-31:34:34.7,2456046.589,2012-04-29.09,12.366,0.681,1.713,0.585,1.0,19.94,19.94,268.19104166666665,-31.576305555555557
2012-BLG-0581,BLG580.06,73136,18:07:06.06,-25:54:51.0,2456061.126,2012-05-13.63,10.327,1.348,1.174,0.174,1.0,16.758,16.758,271.77524999999997,-25.914166666666667
2012-BLG-0582,BLG507.06,100857,17:56:03.53,-32:13:26.6,2456067.071,2012-05-19.57,3.145,0.0,143785.0,12.894,1.0,18.719,18.719,269.0147083333333,-32.22405555555556
2012-BLG-0583,BLG509.06,8751,17:56:15.20,-34:40:41.2,2456087.814,2012-06-09.31,49.275,1.494,1.135,0.137,1.0,16.905,16.905,269.0633333333333,-34.67811111111111
2012-BLG-0584,BLG509.30,22441,17:57:04.48,-33:38:34.6,2456047.325,2012-04-29.82,13.19,0.898,1.426,0.385,1.0,18.948,18.948,269.26866666666666,-33.642944444444446
2012-BLG-0585,BLG510.04,76474,17:57:26.52,-35:51:11.0,2456063.926,2012-05-16.43,48.444,0.298,3.467,1.35,0.304,18.386,19.679,269.36049999999994,-35.85305555555556
2012-BLG-0586,BLG535.10,149903,17:52:59.73,-32:23:25.2,2456056.7,2012-05-09.20,15.393,0.236,4.322,1.589,0.373,19.303,20.373,268.248875,-32.39033333333333
2012-BLG-0587,BLG580.10,3891,18:09:56.59,-25:47:38.7,2456087.198,2012-06-08.70,21.367,0.704,1.672,0.558,1.0,15.844,15.844,272.4857916666666,-25.794083333333337
