HJD,flux,cor_flux,flux_err,obsID,JD,fwhm,sky,airmass,nstar,scale,exptime,skydiff,chisq,npix,airmass1,ang1,included
6484.23781,27568.455078,,2811.558105,42242,6484.232432,2.26271,2785.03,3.01059,108,0.77115,60,0.2284,2593.956,193,,,False
6484.24016,25221.025391,,3027.685303,42243,6484.234783,2.53206,2791.13,3.08721,79,0.768329,60,-17.8286,2219.1777,193,,,False
6484.77655,7472.794922,-658.839365,4009.733154,42246,6484.771196,3.41664,3920.9,1.67722,47,0.766173,60,71.8614,909.60596,193,1.6643,0.9123,True
6484.77772,4046.10498,-3751.458002,3132.672852,42247,6484.772371,2.87458,3423.27,1.6655,77,0.782221,60,83.6104,954.5334,193,1.6529,0.9075,True
6484.78829,7956.717773,-172.964515,2543.05957,42248,6484.782938,3.03824,2350.14,1.56881,72,0.803249,60,41.7913,734.0401,193,1.5587,0.8646,True
6484.82119,4483.841309,-1788.619003,2152.512207,42250,6484.81584,2.39342,2071.16,1.34563,94,0.827925,60,35.7235,1554.8058,193,1.3379,0.7253,True
6484.86512,4766.4375,-611.501545,1209.692993,42253,6484.859765,2.12259,2022.26,1.16179,66,0.842329,60,18.0474,945.2495,193,1.1576,0.5243,True
6484.89799,4783.344238,,1339.447021,42256,6484.892642,2.02114,2160.3,1.08084,56,0.848554,60,24.9726,1935.6827,193,,,False
6484.93089,5132.527832,-1587.68325,1319.692261,42259,6484.925537,2.25321,1840.37,1.03337,133,0.854657,60,14.7538,1080.5905,193,1.033,0.1929,True
6484.96375,7368.116699,1773.00195,1116.497192,42262,6484.958407,2.00975,1704.6,1.01512,162,0.863288,60,17.8392,889.543,193,1.0167,0.0186,True
6485.0003,7718.283203,3274.133817,984.541809,42265,6484.99495,1.79699,1477.23,1.02589,176,0.866193,60,1.3728,1316.0182,193,1.0301,-0.1755,True
6485.0358,8404.30957,1057.401785,1103.491455,42268,6485.030459,2.12072,1565.19,1.06901,135,0.860995,60,12.0352,828.02545,193,1.0768,-0.3591,True
6485.06871,8988.954102,951.251444,1235.529541,42271,6485.063365,2.03885,1529.86,1.14335,110,0.854192,60,3.3825,1475.1753,193,1.1556,-0.5212,True
6485.10158,11481.632812,1050.725003,1061.723633,42274,6485.09624,2.18916,1664.76,1.26216,114,0.849672,60,-14.3971,838.7476,193,1.2795,-0.6735,True
6485.13449,12700.125977,288.888561,1043.010132,42277,6485.129149,2.1367,1715.73,1.44217,129,0.839196,60,-1.1089,698.4622,193,1.4691,-0.8161,True
6485.16737,14611.583008,-1210.002764,1403.321045,42280,6485.162032,2.20034,1934.15,1.71785,120,0.827595,60,-9.8024,1239.2979,193,1.7629,-0.9499,True
6485.20025,18274.734375,-2665.21615,1784.724609,42283,6485.194911,2.41313,2267.89,2.15845,101,0.806226,60,-6.0037,831.22626,193,2.2423,-1.0769,True
6485.23313,26239.900391,-1780.728573,3374.028809,42286,6485.227789,2.76264,2928.36,2.9379,72,0.774291,60,-6.9046,1276.4326,193,3.1047,-1.1999,True
6485.78679,4417.558105,-3638.725004,3169.911865,42292,6485.781474,2.97903,2661.56,1.55897,79,0.7892,60,89.0723,1045.8691,193,1.5483,0.8594,True
6485.82579,6197.508301,-1816.946926,2377.063965,42298,6485.820476,2.93181,2376.66,1.30732,71,0.796278,60,41.6918,600.6029,193,1.3001,0.6928,True
6485.86218,6419.541016,-618.454326,1308.651367,42304,6485.856868,2.4316,2034.84,1.16299,106,0.832956,60,9.9913,632.0175,193,1.1581,0.5251,True
6485.89859,2004.571411,-4214.263199,1357.125244,42310,6485.893281,2.1839,1932.8,1.07405,101,0.840137,60,28.1682,1176.4695,193,1.072,0.3455,True
6485.93618,3563.999268,-3448.352693,1357.026855,42316,6485.930868,2.3209,1787.42,1.0263,128,0.845523,60,0.9073,936.3785,193,1.0265,0.1504,True
6485.97495,6856.081055,107.997831,1042.41748,42322,6485.969644,2.21518,1721.32,1.01543,131,0.748199,60,5.2926,454.26694,193,1.0179,-0.0559,True
6486.01053,6816.992676,1080.929132,1147.784058,42325,6486.005226,1.94196,1573.89,1.03774,93,0.400834,60,26.338,304.37897,193,1.0432,-0.2436,True
6486.04712,9403.457031,2123.193982,897.851807,42328,6486.04181,2.03008,1777.43,1.09635,142,0.838848,60,1.3068,349.70132,193,1.1059,-0.4296,True
6486.08589,8646.285156,-1732.887652,954.842834,42331,6486.080582,2.35351,1992.37,1.20907,108,0.803506,60,-1.3389,274.7814,193,1.2243,-0.6148,True
6486.11993,11513.645508,-586.793,1325.999023,42334,6486.114628,2.27632,2042.36,1.36733,96,0.671372,60,3.1231,506.789,193,1.3917,-0.7661,True
6486.15518,14763.855469,-315.968694,1610.866943,42337,6486.149874,2.29226,2015.98,1.62427,91,0.570863,60,-6.8306,447.84988,193,1.6645,-0.9123,True
6486.18923,13639.268555,-5930.37832,4611.790527,42340,6486.183926,2.4396,1774.62,2.03077,19,0.163669,60,63.5856,484.27686,193,2.097,-1.0455,True
6486.22329,22897.296875,-3537.283868,3371.540039,42343,6486.217986,2.63087,2267.51,2.7285,87,0.764158,60,-23.3645,1824.6036,193,2.8678,-1.1736,True
6486.78381,5702.507812,-1967.273896,1588.595093,42349,6486.77853,2.80792,2436.72,1.56223,85,0.807953,60,14.7939,534.0886,193,1.55,0.8603,True
6486.81669,4195.450195,,2259.798096,42352,6486.811409,2.19419,2062.56,1.33934,136,0.82378,60,17.2279,2406.4934,193,,,False
6486.84958,2479.226074,-2216.265906,1268.694946,42355,6486.844307,2.05122,2083.51,1.19508,146,0.837485,60,15.2707,1208.0143,193,1.19,0.5716,True
6486.88246,3019.897949,-2050.125995,1130.219727,42358,6486.877187,2.02288,1849.57,1.10159,140,0.840637,60,19.911,1128.4222,193,1.0982,0.4127,True
6486.9165,4426.86377,,1462.719116,42361,6486.911232,2.06764,1774.75,1.04295,132,0.849678,60,6.67,2013.7358,193,,,False
6486.95292,4571.339844,-1062.478769,1550.590698,42364,6486.947647,2.01826,1761.58,1.01638,178,0.861652,60,9.8675,1771.9724,193,1.0175,0.0468,True
6486.98826,7349.393555,1175.642858,824.119507,42367,6486.982995,2.06334,1829.56,1.02159,158,0.858921,60,13.5799,286.67572,193,1.0253,-0.1413,True
6487.02493,11039.119141,2286.4169,916.786011,42370,6487.019658,2.61539,1968.04,1.0602,99,0.842224,60,-0.9708,189.5876,193,1.0675,-0.332,True
6487.05898,10963.041016,1033.984326,1051.372437,42373,6487.053718,2.7581,2027.18,1.13257,81,0.839667,60,-0.7405,251.35748,193,1.1434,-0.5011,True
6487.09304,11131.678711,351.474989,2222.170898,42376,6487.087779,3.09715,2207.89,1.24886,41,0.57361,60,26.1142,325.7471,193,1.2659,-0.66,True
6488.78444,7586.419922,-552.545707,2409.732178,42380,6488.779247,3.03947,3028.76,1.51215,73,0.779165,60,55.3859,652.4031,193,1.5016,0.8348,True
6488.81729,6702.172363,-1325.673955,2372.504395,42383,6488.812092,2.92369,2635.89,1.30925,75,0.793241,60,36.6084,686.3816,193,1.301,0.6937,True
6488.85249,6019.479004,-1178.393422,1481.660645,42387,6488.847295,2.47115,2376.47,1.16663,117,0.816811,60,25.1329,693.8512,193,1.1623,0.5317,True
6488.88537,5894.310059,-1089.386579,1266.710327,42390,6488.880174,2.35066,2281.54,1.08318,121,0.825399,60,12.5758,675.17914,193,1.081,0.3704,True
6488.92177,4697.626465,-983.084748,1148.029663,42396,6488.916577,2.04476,2220.54,1.03152,158,0.837049,60,12.0828,1036.4943,193,1.0313,0.1826,True
6488.9548,9460.774414,4076.678882,1763.838013,42399,6488.949609,1.96995,2103.94,1.01481,186,0.841188,60,8.1228,1810.0806,193,1.0166,0.0073,True
6488.989,7884.949219,3003.864528,940.057068,42402,6488.983818,1.85073,2047.45,1.02589,175,0.859271,60,11.1861,776.56537,193,1.03,-0.1744,True
6489.02692,10186.723633,3495.81382,1043.719116,42405,6489.021732,1.99254,1949.27,1.07332,144,0.832921,60,1.8572,487.4287,193,1.0809,-0.3702,True
6489.05981,12079.727539,2587.072559,1041.197388,42408,6489.054625,2.32285,2259.14,1.15009,109,0.805836,60,6.7038,275.6294,193,1.1622,-0.5316,True
6489.0927,13846.708008,3827.99905,913.312622,42411,6489.087517,2.0746,2421.8,1.27075,118,0.741792,60,-5.5266,270.76663,193,1.2898,-0.6833,True
6489.12557,14802.211914,1508.291359,1532.785645,42414,6489.12039,2.3241,2427.48,1.45542,52,0.310616,60,32.0422,129.98323,193,1.4846,-0.8252,True
6489.15844,15485.767578,-1117.658655,1754.378784,42417,6489.153258,2.43274,2525.19,1.73911,43,0.316562,60,24.1554,141.01697,193,1.7873,-0.9584,True
6490.10093,10378.262695,-1931.903089,1521.400879,42423,6490.09579,2.60903,2166.75,1.32501,46,0.345072,60,2.0742,120.82963,193,1.346,-0.7318,True
6490.17882,10259.087891,2225.845235,10169.327148,42427,6490.173683,4.12015,4247.91,2.03706,23,0.698037,60,129.5296,1553.5281,193,2.1082,-1.0481,True
6490.21168,9265.670898,,16179.628906,42430,6490.206542,4.5576,6561.38,2.71647,13,0.637617,60,168.3332,2172.4285,193,,,False
6491.98824,9400.658203,3778.786292,1082.413696,42437,6491.983187,1.93496,6179.69,1.03197,162,0.850058,60,20.1668,461.77972,193,1.0369,-0.2141,True
6492.02349,10867.958984,2521.0629,1163.134888,42440,6492.018436,2.28354,5997.46,1.08239,108,0.82759,60,13.1804,298.26825,193,1.0906,-0.3948,True
6492.05636,10665.158203,676.472544,1278.353638,42443,6492.051313,2.40982,5635.57,1.16541,106,0.815029,60,4.709,322.28732,193,1.1779,-0.5547,True
6492.09275,12400.669922,703.711201,990.235413,42448,6492.087707,2.35115,5160.92,1.31119,107,0.821818,60,-1.2936,293.05975,193,1.3319,-0.7204,True
6492.12562,14185.193359,445.207677,1315.474854,42451,6492.120574,2.23846,4646.31,1.51515,115,0.807706,60,1.2421,476.84012,193,1.5492,-0.8599,True
6492.1585,19146.408203,1631.971786,1449.30603,42454,6492.15346,2.34614,3065.75,1.83608,109,0.788325,60,-13.4229,587.9542,193,1.8905,-0.9912,True
6492.19138,16346.152344,-4206.063687,2228.002441,42457,6492.186333,3.13893,2888.24,2.3662,35,0.477529,60,36.0651,183.3068,193,2.4611,-1.1166,True
