Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2008-BLG-232,BLG214.5,190791,17:57:03.08,-27:59:59.5,2454592.899,2008-05-06.40,8.637,0.344,3.037,1.206,1.0,19.594,19.594,269.26283333333333,-27.999861111111112
2008-BLG-233,BLG207.2,138098,18:03:20.57,-28:57:09.2,2454593.161,2008-05-06.66,20.257,0.730,1.629,0.530,1.0,19.173,19.173,270.8357083333333,-28.952555555555556
2008-BLG-234,BLG225.2,6996,18:04:45.59,-27:50:25.7,2454592.425,2008-05-05.92,13.720,0.822,1.505,0.444,1.0,18.828,18.828,271.18995833333327,-27.84047222222222
2008-BLG-235,BLG227.3,144928,18:10:09.83,-27:33:46.9,2454591.36,2008-05-04.86,2.963,0.821,1.506,0.445,1.0,17.781,17.781,272.5409583333333,-27.56302777777778
2008-BLG-236,BLG233.8,140448,18:02:06.61,-27:17:37.1,2454592.033,2008-05-05.53,10.354,0.082,12.173,2.713,0.335,19.211,20.4,270.52754166666665,-27.29363888888889
2008-BLG-237,BLG251.6,42406,18:10:07.79,-25:51:55.7,2454604.035,2008-05-17.54,23.082,0.374,2.812,1.123,1.0,19.372,19.372,272.5324583333333,-25.865472222222223
2008-BLG-238,BLG138.5,54510,17:44:55.26,-33:25:03.0,2454591.656,2008-05-05.16,18.433,1.032,1.320,0.301,1.0,18.822,18.822,266.23025,-33.4175
2008-BLG-239,BLG155.4,110334,17:53:30.33,-32:10:18.8,2454584.015,2008-04-27.52,9.869,0.430,2.486,0.989,1.0,18.761,18.761,268.37637499999994,-32.17188888888889
2008-BLG-240,BLG172.3,88095,17:55:28.11,-31:10:08.1,2454595.274,2008-05-08.77,21.793,1.106,1.275,0.264,1.0,18.567,18.567,268.867125,-31.168916666666668
2008-BLG-241,BLG179.3,36915,17:51:02.36,-30:38:13.8,2454593.766,2008-05-07.27,7.739,0.370,2.840,1.133,1.0,19.461,19.461,267.75983333333335,-30.637166666666666
2008-BLG-242,BLG214.4,13307,17:57:53.86,-28:07:52.4,2454609.604,2008-05-23.10,13.436,0.589,1.911,0.703,1.0,17.17,17.17,269.4744166666666,-28.131222222222224
2008-BLG-243,BLG129.4,111979,17:44:52.26,-33:54:56.1,2454602.541,2008-05-16.04,-,-,-,-,1.0,18.397,18.397,266.21774999999997,-33.91558333333333
2008-BLG-244,BLG188.2,106484,17:59:12.59,-30:07:11.9,2454609.015,2008-05-22.52,20.325,1.766,1.086,0.090,1.0,15.383,15.383,269.80245833333333,-30.119972222222223
2008-BLG-245,BLG234.1,48184,18:06:31.23,-27:22:47.4,2454597.885,2008-05-11.38,19.941,0.033,30.450,3.709,0.092,16.773,19.367,271.63012499999996,-27.379833333333334
2008-BLG-246,BLG250.4,64637,18:09:43.36,-25:43:09.3,2454592.535,2008-05-06.04,3.266,0.304,3.407,1.331,1.0,19.557,19.557,272.43066666666664,-25.71925
2008-BLG-247,BLG103.7,131625,17:55:12.37,-30:07:47.3,2454598.007,2008-05-11.51,12.598,1.844,1.077,0.080,1.0,16.436,16.436,268.80154166666665,-30.129805555555556
2008-BLG-248,BLG141.4,52723,17:54:41.87,-33:23:23.9,2454614.754,2008-05-28.25,47.129,0.178,5.699,1.890,0.13,18.401,20.62,268.6744583333333,-33.38997222222222
2008-BLG-249,BLG216.8,34963,18:02:19.17,-28:33:55.8,2454599.189,2008-05-12.69,95.015,0.015,67.149,4.568,0.088,19.622,22.261,270.57987499999996,-28.5655
2008-BLG-250,BLG225.5,79780,18:04:26.79,-27:28:24.0,2454584.388,2008-04-27.89,19.123,1.250,1.209,0.206,1.0,18.087,18.087,271.11162499999995,-27.473333333333333
2008-BLG-251,BLG226.3,112911,18:07:56.96,-27:36:49.0,2454609.771,2008-05-23.27,46.523,0.701,1.677,0.562,1.0,19.183,19.183,271.9873333333333,-27.613611111111112
2008-BLG-252,BLG122.5,171985,17:48:39.93,-34:31:43.2,2454623.427,2008-06-05.93,29.285,0.466,2.315,0.912,1.0,18.558,18.558,267.16637499999996,-34.528666666666666
