Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2007-BLG-328,MOA-2,gb5,3,17:52:21.044,-29:23:07.91,,268.0876833333333,-29.385530555555555
MOA-2007-BLG-329,MOA-2,gb5,5,17:53:24.125,-29:56:33.00,,268.3505208333333,-29.9425
MOA-2007-BLG-330,MOA-2,gb10,1,17:59:34.454,-26:47:01.17,,269.8935583333333,-26.783658333333335
MOA-2007-BLG-331,MOA-2,gb20,4,18:17:56.789,-24:01:36.83,,274.48662083333335,-24.02689722222222
MOA-2007-BLG-332,MOA-2,gb20,9,18:19:02.089,-23:28:43.80,,274.75870416666663,-23.47883333333333
MOA-2007-BLG-333,MOA-2,gb1,4,17:45:44.999,-34:27:53.29,,266.43749583333334,-34.464802777777784
MOA-2007-BLG-334,MOA-2,gb1,5,17:45:35.814,-34:54:37.56,,266.399225,-34.91043333333333
MOA-2007-BLG-335,MOA-2,gb5,3,17:53:28.044,-29:19:43.32,,268.36684999999994,-29.3287
MOA-2007-BLG-336,MOA-2,gb2,6,17:54:11.888,-35:18:23.84,,268.5495333333333,-35.30662222222222
MOA-2007-BLG-337,MOA-2,gb2,7,17:54:08.347,-34:52:25.48,,268.5347791666666,-34.87374444444445
MOA-2007-BLG-338,MOA-2,gb16,3,18:09:06.513,-29:08:20.97,,272.2771375,-29.139158333333334
MOA-2007-BLG-339,MOA-2,gb5,4,17:53:52.316,-29:27:10.66,,268.4679833333333,-29.45296111111111
MOA-2007-BLG-340,MOA-2,gb9,10,18:00:14.262,-28:29:46.12,,270.0594249999999,-28.496144444444447
MOA-2007-BLG-341,MOA-2,gb9,6,18:01:22.667,-29:50:40.11,,270.3444458333333,-29.844475
MOA-2007-BLG-342,MOA-2,gb9,8,18:01:32.236,-29:23:19.86,,270.3843166666666,-29.388849999999998
MOA-2007-BLG-343,MOA-2,gb5,7,17:54:53.451,-29:27:02.51,,268.72271249999994,-29.45069722222222
MOA-2007-BLG-344,MOA-2,gb13,8,18:09:06.597,-29:08:20.82,,272.27748749999995,-29.139116666666666
MOA-2007-BLG-345,MOA-2,gb1,5,17:46:01.445,-34:54:35.01,,266.5060208333333,-34.909725
MOA-2007-BLG-346,MOA-2,gb22,10,18:36:43.319,-23:19:25.78,,279.18049583333334,-23.323827777777776
MOA-2007-BLG-347,MOA-2,gb5,5,17:52:12.601,-29:51:24.86,,268.05250416666667,-29.856905555555556
MOA-2007-BLG-348,MOA-2,gb5,9,17:54:48.074,-28:58:00.55,,268.7003083333333,-28.966819444444443
MOA-2007-BLG-349,MOA-2,gb15,5,18:04:52.481,-26:26:35.54,,271.2186708333333,-26.443205555555554
MOA-2007-BLG-350,MOA-2,gb19,4,18:16:09.951,-25:51:32.80,,274.0414624999999,-25.859111111111112
MOA-2007-BLG-351,MOA-2,gb19,9,18:18:12.535,-25:11:06.20,,274.5522291666667,-25.185055555555557
MOA-2007-BLG-352,MOA-2,gb15,7,18:08:00.911,-25:55:46.15,,272.0037958333333,-25.929486111111114
MOA-2007-BLG-353,MOA-2,gb13,3,18:04:01.556,-29:13:24.23,,271.0064833333333,-29.22339722222222
MOA-2007-BLG-354,MOA-2,gb14,1,18:04:17.115,-26:55:50.38,,271.0713125,-26.930661111111114
MOA-2007-BLG-355,MOA-2,gb14,8,18:07:56.715,-27:22:07.15,,271.9863125,-27.36865277777778
MOA-2007-BLG-356,MOA-2,gb9,2,17:57:55.890,-28:50:29.29,,269.482875,-28.841469444444442
MOA-2007-BLG-357,MOA-2,gb21,2,18:16:30.505,-21:28:39.90,,274.1271041666666,-21.477749999999997
MOA-2007-BLG-358,MOA-2,gb21,8,18:20:47.982,-21:52:19.67,,275.19992499999995,-21.872130555555557
MOA-2007-BLG-359,MOA-2,gb5,1,17:52:49.815,-28:34:38.50,,268.2075625,-28.57736111111111
MOA-2007-BLG-360,MOA-2,gb3,6,17:55:18.735,-33:20:17.15,,268.8280625,-33.338097222222224
MOA-2007-BLG-361,MOA-2,gb12,8,18:07:28.063,-30:59:36.35,,271.86692916666664,-30.993430555555555
MOA-2007-BLG-362,MOA-2,gb5,2,17:52:52.998,-29:03:13.86,,268.220825,-29.05385
MOA-2007-BLG-363,MOA-2,gb10,7,18:00:10.893,-27:41:47.45,,270.04538749999995,-27.69651388888889
MOA-2007-BLG-364,MOA-2,gb10,7,18:00:10.733,-27:43:31.95,,270.04472083333326,-27.725541666666665
MOA-2007-BLG-365,MOA-2,gb18,4,18:10:44.437,-26:09:01.24,,272.6851541666666,-26.150344444444443
MOA-2007-BLG-366,MOA-2,gb9,3,17:58:39.108,-29:04:59.68,,269.66294999999997,-29.083244444444443
MOA-2007-BLG-367,MOA-2,gb12,7,18:06:57.035,-31:18:24.44,,271.7376458333333,-31.30678888888889
MOA-2007-BLG-368,MOA-2,gb20,2,18:15:46.324,-23:31:10.46,,273.94301666666667,-23.519572222222223
MOA-2007-BLG-369,MOA-2,gb21,7,18:18:13.683,-22:14:55.09,,274.5570125,-22.24863611111111
MOA-2007-BLG-370,MOA-2,gb5,6,17:54:21.476,-29:49:35.64,,268.58948333333325,-29.826566666666665
MOA-2007-BLG-371,MOA-2,gb11,4,18:04:19.167,-33:00:34.67,,271.0798625,-33.00963055555555
MOA-2007-BLG-372,MOA-2,gb14,10,18:06:16.912,-26:49:37.26,,271.5704666666667,-26.827016666666665
MOA-2007-BLG-373,MOA-2,gb13,1,18:03:36.445,-28:32:50.70,,270.9018541666667,-28.547416666666667
MOA-2007-BLG-374,MOA-2,gb1,6,17:50:28.433,-34:49:23.04,,267.6184708333333,-34.82306666666667
MOA-2007-BLG-375,MOA-2,gb2,2,17:53:51.854,-34:09:47.60,,268.4660583333333,-34.163222222222224
MOA-2007-BLG-376,MOA-2,gb4,7,17:56:38.545,-31:22:54.94,,269.16060416666664,-31.38192777777778
MOA-2007-BLG-377,MOA-2,gb10,4,17:57:34.458,-27:51:11.42,,269.39357499999994,-27.853172222222224
MOA-2007-BLG-378,MOA-2,gb8,7,18:02:52.811,-31:18:47.45,,270.72004583333336,-31.313180555555558
